typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20110101","2011","1","201101","699","IND","India","M","Import","0","W00","World","0","W00","World","H3","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","30315551.827","0","30315551.827","0","false","true",
"C","M","20110201","2011","2","201102","699","IND","India","M","Import","0","W00","World","0","W00","World","H3","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","45641541.444","0","45641541.444","0","false","true",
"C","M","20110301","2011","3","201103","699","IND","India","M","Import","0","W00","World","0","W00","World","H3","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","30931893.074","0","30931893.074","0","false","true",
"C","M","20110401","2011","4","201104","699","IND","India","M","Import","0","W00","World","0","W00","World","H3","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","54114866.448","0","54114866.448","0","false","true",
"C","M","20110501","2011","5","201105","699","IND","India","M","Import","0","W00","World","0","W00","World","H3","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","65993982.259","0","65993982.259","0","false","true",
"C","M","20110601","2011","6","201106","699","IND","India","M","Import","0","W00","World","0","W00","World","H3","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","53897717.773","0","53897717.773","0","false","true",
"C","M","20110701","2011","7","201107","699","IND","India","M","Import","0","W00","World","0","W00","World","H3","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","39396595.542","0","39396595.542","0","false","true",
"C","M","20110801","2011","8","201108","699","IND","India","M","Import","0","W00","World","0","W00","World","H3","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","31505863.33","0","31505863.33","0","false","true",
"C","M","20110901","2011","9","201109","699","IND","India","M","Import","0","W00","World","0","W00","World","H3","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","29004136.252","0","29004136.252","0","false","true",
"C","M","20111001","2011","10","201110","699","IND","India","M","Import","0","W00","World","0","W00","World","H3","HS","true","52","Cotton","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","33136343.052",,"33136343.052","0","false","true",
